기간,자치구,발생,발생,발생,발생,소실,소실,소실,피해액,피해액,피해액,재산피해경감액,인명피해,인명피해,인명피해,이재민수,구조인원
기간,자치구,합계,실화,방화,기타,동수(동),이재가구수(가구),면적(㎡),합계,부동산,동산,재산피해경감액,합계,사망,부상,이재민수,구조인원
2018,양천구,219,204,4,11,15,1,388,"357,569","136,819","220,750","24,451,853",12,1,11,2,33
2018,강서구,383,347,12,24,13,16,"1,062","393,401","196,115","197,286","20,303,007",20,2,18,25,13
2018,구로구,263,238,11,14,17,-,358,"239,327","74,308","165,019","14,988,322",5,2,3,-,31
2018,금천구,168,158,3,7,7,1,476,"203,806","55,351","148,455","19,353,917",8,-,8,2,37
2018,영등포구,258,217,11,30,42,25,"1,124","704,193","228,065","476,128","27,191,823",27,4,23,34,41
2018,동작구,205,186,7,12,21,17,359,"312,925","103,520","209,405","7,302,184",13,4,9,19,15
2018,관악구,337,295,15,27,109,11,"1,772","816,562","395,475","421,087","9,952,527",21,1,20,21,53
2018,서초구,242,210,6,26,48,3,"2,223","848,067","201,149","646,918","18,257,199",15,-,15,3,63
2018,강남구,436,399,7,30,134,1,"1,631","1,624,983","670,429","954,554","87,651,462",23,-,23,1,36
2018,송파구,340,301,7,32,84,16,"2,717","970,251","390,994","579,257","16,546,317",28,-,28,42,99
2018,강동구,324,297,14,13,59,8,"3,358","540,625","236,181","304,444","7,235,347",19,4,15,19,26
