기간,자치구,발생,발생,발생,발생,소실,소실,소실,피해액,피해액,피해액,재산피해경감액,인명피해,인명피해,인명피해,이재민수,구조인원
기간,자치구,합계,실화,방화,기타,동수(동),이재가구수(가구),면적(㎡),합계,부동산,동산,재산피해경감액,합계,사망,부상,이재민수,구조인원
2012,강북구,201 ,168 ,14 ,19 ,79 ,4 ,1981 ,721665 ,223841 ,497824 ,14346238 ,12 ,5 ,7 ,9 ,16 
2012,도봉구,163 ,136 ,12 ,15 ,36 ,8 ,1477 ,327782 ,135776 ,192006 ,8774864 ,4 ,-,4 ,21 ,35 
2012,노원구,234 ,211 ,17 ,6 ,35 ,4 ,38549 ,312087 ,160771 ,151316 ,18942909 ,10 ,1 ,9 ,13 ,9 
2012,은평구,220 ,198 ,6 ,16 ,29 ,3 ,861 ,212311 ,93181 ,119130 ,5067717 ,3 ,1 ,2 ,9 ,36 
2012,서대문구,173 ,150 ,11 ,12 ,45 ,1 ,1194 ,383633 ,216456 ,167177 ,4858353 ,6 ,-,6 ,4 ,-
2012,마포구,209 ,181 ,7 ,21 ,83 ,-,539 ,417956 ,128908 ,289048 ,11764761 ,21 ,2 ,19 ,59 ,3 
2012,양천구,209 ,191 ,5 ,13 ,4 ,1 ,404 ,207781 ,71473 ,136308 ,6349333 ,4 ,-,4 ,2 ,21 
2012,강서구,282 ,263 ,7 ,12 ,83 ,3 ,2145 ,1497794 ,219817 ,1277977 ,17792289 ,13 ,1 ,12 ,7 ,3 
2012,구로구,213 ,179 ,15 ,19 ,70 ,4 ,1654 ,730050 ,385574 ,344476 ,126766887 ,9 ,-,9 ,8 ,32 
2012,금천구,164 ,150 ,4 ,10 ,59 ,2 ,401 ,316764 ,152661 ,164103 ,70129733 ,-,-,-,6 ,9 
2012,영등포구,252 ,200 ,21 ,31 ,101 ,20 ,1728 ,1666505 ,290697 ,1375808 ,177456497 ,17 ,1 ,16 ,25 ,14 
2012,동작구,209 ,191 ,15 ,3 ,41 ,3 ,505 ,228588 ,104732 ,123856 ,28606559 ,5 ,-,5 ,9 ,52 
2012,관악구,409 ,369 ,24 ,16 ,67 ,1 ,1540 ,684512 ,333205 ,351307 ,6382123 ,10 ,2 ,8 ,1 ,29 
2012,서초구,230 ,200 ,12 ,18 ,41 ,2 ,1560 ,786738 ,280787 ,505951 ,60786891 ,15 ,-,15 ,9 ,14 
2012,강남구,385 ,330 ,17 ,38 ,55 ,16 ,2862 ,1488431 ,524197 ,964234 ,33242512 ,16 ,3 ,13 ,27 ,84 
2012,송파구,295 ,255 ,15 ,25 ,81 ,1 ,2772 ,1357774 ,660653 ,697121 ,16677769 ,13 ,-,13 ,3 ,21 
2012,강동구,263 ,245 ,5 ,13 ,89 ,9 ,1435 ,505568 ,190494 ,315074 ,25660913 ,8 ,1 ,7 ,18 ,3 
2013,합계,5646 ,4982 ,262 ,402 ,998 ,58 ,39306 ,21495228 ,6814090 ,14681138 ,1504175168 ,233 ,31 ,202 ,153 ,401 
2013,종로구,254 ,216 ,16 ,22 ,8 ,-,2090 ,1165759 ,381341 ,784418 ,20362771 ,3 ,1 ,2 ,-,3 
2013,중구,190 ,152 ,10 ,28 ,26 ,3 ,1655 ,1822207 ,356564 ,1465643 ,312880 ,12 ,5 ,7 ,7 ,11 
2013,용산구,170 ,136 ,12 ,22 ,12 ,-,601 ,616015 ,131712 ,484303 ,135809227 ,4 ,1 ,3 ,-,11 
2013,성동구,185 ,165 ,8 ,12 ,21 ,1 ,2327 ,1905176 ,420498 ,1484678 ,822900303 ,8 ,-,8 ,3 ,4 
2013,광진구,214 ,196 ,7 ,11 ,15 ,1 ,579 ,536964 ,329952 ,207012 ,24590833 ,11 ,-,11 ,1 ,10 
2013,동대문구,206 ,179 ,4 ,23 ,32 ,-,524 ,388330 ,189387 ,198943 ,8180365 ,4 ,-,4 ,-,2 
2013,중랑구,158 ,122 ,18 ,18 ,76 ,1 ,902 ,523523 ,188640 ,334883 ,18967717 ,11 ,3 ,8 ,4 ,14 
2013,성북구,204 ,188 ,4 ,12 ,1 ,-,707 ,467510 ,189124 ,278386 ,12054167 ,3 ,-,3 ,-,19 
2013,강북구,229 ,211 ,9 ,9 ,99 ,5 ,2447 ,618876 ,385460 ,233416 ,21865597 ,4 ,1 ,3 ,15 ,12 
2013,도봉구,218 ,190 ,11 ,17 ,1 ,-,498 ,247014 ,84748 ,162266 ,2282703 ,2 ,1 ,1 ,-,2 
2013,노원구,260 ,239 ,14 ,7 ,39 ,7 ,2951 ,355997 ,194393 ,161604 ,29410750 ,5 ,-,5 ,16 ,6 
2013,은평구,211 ,170 ,12 ,29 ,40 ,-,1115 ,388688 ,130805 ,257883 ,3504309 ,12 ,-,12 ,-,33 
2013,서대문구,221 ,199 ,14 ,8 ,20 ,-,601 ,486725 ,184070 ,302655 ,5778164 ,8 ,3 ,5 ,-,5 
2013,마포구,226 ,196 ,9 ,21 ,57 ,-,566 ,337125 ,145285 ,191840 ,65492262 ,15 ,1 ,14 ,-,15 
2013,양천구,233 ,212 ,3 ,18 ,8 ,-,728 ,498249 ,142332 ,355917 ,9718861 ,25 ,2 ,23 ,-,5 
2013,강서구,242 ,221 ,11 ,10 ,48 ,4 ,2173 ,1864010 ,577478 ,1286532 ,66870482 ,12 ,2 ,10 ,12 ,26 
2013,구로구,238 ,215 ,10 ,13 ,84 ,8 ,5118 ,672230 ,305933 ,366297 ,59506848 ,14 ,5 ,9 ,19 ,80 
2013,금천구,144 ,124 ,6 ,14 ,44 ,5 ,622 ,468656 ,145190 ,323466 ,38812943 ,10 ,2 ,8 ,12 ,22 
2013,영등포구,219 ,173 ,23 ,23 ,107 ,-,1753 ,3250696 ,482826 ,2767870 ,51436789 ,13 ,2 ,11 ,2 ,10 
2013,동작구,159 ,150 ,3 ,6 ,36 ,3 ,189 ,171598 ,54378 ,117220 ,4845213 ,2 ,-,2 ,8 ,4 
2013,관악구,299 ,274 ,16 ,9 ,37 ,-,760 ,437716 ,208345 ,229371 ,12814526 ,8 ,-,8 ,-,26 
2013,서초구,216 ,192 ,6 ,18 ,51 ,7 ,5171 ,920692 ,455988 ,464704 ,23954034 ,5 ,-,5 ,16 ,5 
2013,강남구,421 ,389 ,10 ,22 ,49 ,-,1900 ,2261935 ,726994 ,1534941 ,33106490 ,21 ,-,21 ,-,13 
2013,송파구,304 ,265 ,18 ,21 ,22 ,-,2644 ,698886 ,251768 ,447118 ,15060660 ,15 ,1 ,14 ,-,37 
2013,강동구,225 ,208 ,8 ,9 ,65 ,13 ,686 ,390651 ,150879 ,239772 ,16536274 ,6 ,1 ,5 ,38 ,26 
2014,합계,5815 ,5131 ,227 ,457 ,963 ,161 ,36528 ,20052979 ,6674887 ,13378092 ,971050895 ,301 ,36 ,265 ,369 ,435 
2014,종로구,239 ,210 ,10 ,19 ,35 ,1 ,1697 ,1395325 ,354650 ,1040675 ,8414153 ,1 ,-,1 ,2 ,17 
2014,중구,233 ,198 ,9 ,26 ,33 ,25 ,2462 ,1112281 ,406673 ,705608 ,1355613 ,18 ,2 ,16 ,32 ,33 
2014,용산구,208 ,184 ,2 ,22 ,18 ,-,183 ,330128 ,50238 ,279890 ,174959108 ,2 ,-,2 ,-,5 
2014,성동구,204 ,185 ,6 ,13 ,19 ,1 ,952 ,2570746 ,269619 ,2301127 ,11903985 ,5 ,-,5 ,5 ,3 
2014,광진구,244 ,221 ,10 ,13 ,31 ,3 ,605 ,446703 ,240679 ,206024 ,39690138 ,12 ,1 ,11 ,8 ,17 
