뉴스 식별자,본문
01400551.20200720151620002,"［충북일보］ 더불어민주당 이장섭(청주 서원)의원이 최근 에듀테크(edutech) 산업에 대한 지원 근거를 마련하는 내용의 '이러닝(전자학습)산업 발전 및 이러닝 활용 촉진에 관한 법률 일부개정법률안'을 대표 발의했다고 20일 밝혔다. 

'에듀테크'란 교육(education)과 기술(technology)의 합성어다. 4차 산업시대에 각광을 받고 있는 증.."
01700201.20200720150006001,"지난 20년간의 제주삼다수 취수에도 주변의 지하수 수위에는 별다른 변동이 없던 것으로 연구결과 밝혀졌다. 이에 따라 취수원 주변의 지하수를 지속가능한 자원으로 관리할 수 있을 것으로 전망된다.
제주특별자치도개발공사는 1998년 제주삼다수 출시이래 20여년 이상의 장기간에 걸친 조사 연구 자료를 토대로 최근 취수원 주변의 지하수 특성에 대한 논문 2편을 .."
02100201.20200720143559001,"[머니투데이 양태연 머니투데이방송 PD] [[MTN 오! 마이 스탁] 오마이 특징주]

 오전장 시황과 AI에 포착된 테마와 종목! 인공지능의 종목으로 초보투자자들의 기준을 잡아드립니다! (진행) 김다은 머니투데이방송 앵커 (출연) 조인원 이사 / 타라시스템 Q. 개장 때 포착된 종목들은? - 웰크론한텍 2.42% 부분청산 후 보유 - 미코 3.10% .."
02100851.20200720143424001,"국내 연구진이 인공지능(AI)을 이용해 소리를 듣고 어떠한 상황인지 음향 인식 기술력을 겨루는 국제대회에서 세계 1위를 달성했다. 
 
한국전자통신연구원(ETRI)은 지난 3일 세계적인 인공지능 기반 음향 이벤트와 장면 인식 기술 경진 대회(DCASE)인 '음향 장면 인식 분야'에 참가해 우수한 성적을 거뒀다고 20일 밝혔다. 
 
올해로 6회째를 맞이.."
01100201.20200720142940001,"티앤알바이오팹은 주식회사 닥터웰과 2억원 규모의 계약을 체결했다고 20일에 공시했다. 
 
이번 계약은 비접촉식 디지털 체온계이고 계약기간은 2020년 07월 20일부터 2020년 09월 19일까지이다. 
 
계약규모는 2억원으로 최근 매출액인 12억원 대비 21% 수준이다. 
 
한편, 티앤알바이오팹의 14시 27분 현재주가는 12,450원으로 직전 .."
02100101.20200720142531001,"제주도에서 삼다수 취수가 주변 지하수 수위에 영향을 주지 않는다는 연구결과가 나왔다.
제주삼다수를 생산 판매하는 제주특별자치도개발공사(사장 김정학)는 1998년 출시 이래 20여년 이상 장기간에 걸친 조사연구 자료를 토대로 최근 제주삼다수 취수원 주변지역 지하수 특성에 대한 논문 두 편을 한국수자원학회 논문집에 발표했다. 
논문에 따르면 제주삼다수 취수.."
02100851.20200720141158001,"[사진=아리랑TV 제공] 
 
아리랑TV가 코로나19로 해외 진출에 도움이 절실해진 국내 벤처기업들을 위해 또 한 번 팔을 걷어붙였다. 
 
코로나19의 강력한 전염력으로 수출 판로에 빨간불이 켜진 국내 벤처기업들. 아리랑TV는 국내 스타트업들의 글로벌 마케팅 지원을 위해 KDB산업은행과 협력하여 K-Tech Innovators를 기획 제작, 기업들의 .."
01100201.20200720140201001,"20일 오후 2시 코스닥(782.48p, -0.74p, -0.09%)은 외국인 매도가 늘면서 하락세를 보이고 있다. 투자자별 동향을 살펴보면 기관은 114억원 순매도했으며, 외국인도 1,146억원 순매도했다. 개인은 1,305억원 순매수하고 있다. 
 
 
 
업종별로는 통신장비(+2.43%)와 금속(+1.87%) 등이 강세를 보이고 있는 반면 디지털컨.."
01100201.20200720140200001,"20일 오후 2시 코스피(2,198.86p, -2.33p, -0.11%)는 기관 매도가 늘면서 하락세를 보이고 있다. 투자자별 동향을 살펴보면 기관은 2,507억원 순매도했으며, 외국인도 1,081억원 순매도했다. 개인은 3,618억원 순매수하고 있다. 
 
 
 
업종별로는 운수장비(+1.92%)와 건설업(+1.54%) 등이 강세를 보이고 있는 반면 .."
02100851.20200720140116001,"한국저작권위원회 CI [사진=한국저작권위원회 제공] 
 
 
중국 내 온라인 저작권 분쟁에 대한 효과적 대안으로 중국의 인터넷 법원이 주목받고 있다. 
 
한국저작권위원회(위원장 임원선 이하 위원회)는 20일 “중국 인터넷법원 소송 이용방법 안내서인 ‘중국에서 저작권 분쟁 해결을 위한 인터넷법원 활용 핸드북’을 발간했다”고 발표했다. 
 
인터넷 관련 .."
01100201.20200720133531001,"내츄럴엔도텍은 김재수 및 특별관계자의 지분율이 18.42%에서 19.27%로 변동했다고 20일 공시했다. 한편, 내츄럴엔도텍은 거래정지 상태이다. 
 
 
 
공시 전문으로 이동 
 
 
 
* 주식등의 대량보유상황보고서는 특수관계인을 포함한 개인이나 법인이 상장회사 지분을 5%이상 보유하게 될 경우에 5일 이내 발표하는 지분공시다. 일명 ""5%룰""이라.."
01100201.20200720132602001,코로나19의 강풍(?風)으로 공연계도 연기와 취소로 인한 타격이 크다. 대구 발(發) 신천지의 코로나 확전으로 대구지역 공연계도 숨죽인 채 대명동공연거리는 한산했다. 대구연극제는 1984년 극단 황토 <귀향>을 출발로 올해 37회로 대상수상작은 대한민국연극제 본선에 출전하는 것이 ‘대구연극제’ 전통이 됐다. 매년 3~4월에 개최되었던 대구연극제는 올해 ..
01100201.20200720132601001,"네오팜은 20일 특허권을 취득했다고 공시했다. 네오팜의 13시 23분 현재주가는 32,150원으로 직전 거래일 대비 250원(-0.77%) 하락이며, 거래량은 37,888주이다. 
 
이번에 출원한 특허기술은 아마이드계 화합물을 포함하는 화장료 조성물로, 네오팜은 이번 특허기술을 신제품개발에 활용할 계획이라고 발표했다. 
 
공시 전문으로 이동 
 
스.."
02100701.20200720131849001,"[헤럴드경제(부산)=윤정희 기자] 부산을 인공지능(AI) 중심도시로 육성하기 위해서는 인공지능 생태계 조성이 필요하다는 주장이 나왔다. 
 
 부산연구원은 20일 BDI 정책포커스 ‘AI 중심도시 부산, AI 생태계 조성에서 시작’이라는 보고서를 내고 AI 생태계 강화 방안을 제시했다. 
 
 AI 기술은 제조업, 서비스업과 융합해 상용화가 시작되고 있.."
01100201.20200720130241002,"20일 오후 1시 코스닥(782.84p, -0.38p, -0.05%)은 외국인 매도가 늘면서 하락세를 보이고 있다. 투자자별 동향을 살펴보면 기관은 142억원 순매도했으며, 외국인도 1,099억원 순매도했다. 개인은 1,294억원 순매수하고 있다. 
 
 
 
업종별로는 정보기기(+1.79%)와 통신장비(+1.59%) 등이 강세를 보이고 있는 반면 디지.."
01100201.20200720130241001,"20일 오후 1시 코스피(2,200.54p, -0.65p, -0.03%)는 기관 매도가 늘면서 하락세를 보이고 있다. 투자자별 동향을 살펴보면 기관은 2,030억원 순매도했으며, 외국인도 1,083억원 순매도했다. 개인은 3,180억원 순매수하고 있다. 
 
 
 
업종별로는 운수장비(+2.10%)와 의약품(+1.62%) 등이 강세를 보이고 있는 반면 .."
01100701.20200720123204001,"신한은행이 한국능률협회컨설팅이 주관하는 '2020 한국산업 서비스품질지수(KSQI)' 은행 부문 1위를 거두었다. 
 
 KSQI-MOT는 한국산업의 서비스 품질에 대한 고객의 체감 정도를 나타내는 지수로, 서비스 평가단이 기업 상품 및 서비스를 전달하는 최종 가치 전달자인 고객접점에서 그들이 지각하는 서비스 품질 수준을 평가하여 서비스 이행률 관점에서.."
